,RMSE,moran_mean,lisa_stdev,nsga2_rank,ID,front,front color
0,0.9361946,0.82,0.253731680038253,5,hec_150_2019,0,8
1,0.9361946,0.82,0.253731680038253,5,hec_150_2019,0,8
2,0.49886538,0.802197206046476,0.378060624926339,10,hec_250_2016,0,8
3,0.65934311,0.766267773338657,0.365245875923736,11,hec_250_2016,0,8
4,0.50438114,0.687476075461141,0.35603605423655,22,hec_250_2020,0,8
5,0.36240125,0.6429703489,0.326662324188919,23,hec_150_2020,0,8
6,0.94129344,0.82,0.321539211836335,4,hec_250_2019,1,7
7,0.94129344,0.82,0.321539211836335,4,hec_250_2019,1,7
8,0.50003333,0.780373420140383,0.442900397278993,16,hec_250_2015,1,7
9,2.35516454,0.812595812744248,0.369525850541022,6,ca_30_2016,2,6
10,1.40364,0.69,0.439131591,12,ca_30_2015,2,6
11,0.67577116,0.737326933564843,0.463187417938835,17,hec_150_2015,2,6
12,2.73732838,0.733009662598451,0.425918162390969,0,ca_30_2019,3,5
13,2.73732838,0.733009662598451,0.425918162390969,0,ca_30_2019,3,5
14,2.69803,0.66,0.426888975,13,ca_50_2015,3,5
15,3.91472,0.39,0.409471251,14,ca_90_2015,3,5
16,3.14372391,0.707532964195119,0.431024023531994,1,ca_50_2019,4,4
17,3.14372391,0.707532964195119,0.431024023531994,1,ca_50_2019,4,4
18,4.13262628,0.699222774872211,0.427965559274168,7,ca_50_2019,4,4
19,3.62269237,0.547450545491496,0.45954020479815,2,ca_90_2019,5,3
20,3.62269237,0.547450545491496,0.45954020479815,2,ca_90_2019,5,3
21,3.37084,0.42,0.436888913,15,ca_100_2015,5,3
22,4.41517459,0.31,0.431756949698813,9,ca_100_2016,5,3
23,3.89306221,0.47649450268677,0.488814117348696,3,ca_100_2019,6,2
24,3.89306221,0.47649450268677,0.488814117348696,3,ca_100_2019,6,2
25,4.76739272,0.456437426358114,0.488205774424587,8,ca_90_2016,6,2
26,5.47616297,0.131241662081424,0.472380438779697,20,ca_90_2020,6,2
27,5.42245534,0.109423590212525,0.453265409722879,21,ca_100_2020,6,2
28,4.0541034,0.254968857595892,0.511293189909429,19,ca_50_2020,7,1
29,5.22057462,0.409998556875807,0.5097024543938,18,ca_30_2020,7,1
